epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0285,3.57595,3.84925,2.04891,0.19379,0.20964,0.0705,0.03032,2.60538,2.15083,1.37761,0.00011432,0.00011432,0.00011432
2,27.9773,2.58248,2.22312,1.39999,0.13475,0.12327,0.06164,0.02347,2.10569,inf,1.17391,0.000242128,0.000242128,0.000242128
3,35.4388,2.204,1.36298,1.18141,0.2528,0.13282,0.07846,0.02866,2.2099,inf,1.21153,0.000369088,0.000369088,0.000369088
4,41.4787,2.01031,1.12659,1.15054,0.3287,0.15345,0.11866,0.0447,2.01325,inf,1.17604,0.000495199,0.000495199,0.000495199
5,48.7537,1.908,1.0692,1.11141,0.67166,0.18052,0.12595,0.04433,1.87395,inf,1.15481,0.00062046,0.00062046,0.00062046
6,54.5398,1.85586,1.00838,1.07922,0.51382,0.27043,0.19311,0.0757,1.90399,inf,1.15774,0.000744873,0.000744873,0.000744873
7,62.2874,1.83662,0.97362,1.07788,0.48549,0.28726,0.19771,0.08081,1.9834,2.2061,1.22019,0.000868438,0.000868438,0.000868438
8,68.1825,1.82596,0.95653,1.06979,0.70851,0.3275,0.28076,0.1125,2.00271,1.57552,1.19055,0.000991153,0.000991153,0.000991153
9,75.4454,1.79912,0.93082,1.0483,0.63985,0.37159,0.32561,0.12245,2.00255,1.22213,1.18431,0.00111302,0.00111302,0.00111302
10,81.2894,1.73363,0.89156,1.03891,0.62349,0.32767,0.27939,0.11139,1.95141,1.18525,1.15628,0.00123404,0.00123404,0.00123404
11,87.3997,1.79499,0.90972,1.05748,0.44073,0.30215,0.16908,0.06957,1.96202,1.33353,1.18271,0.00135421,0.00135421,0.00135421
12,94.5324,1.76081,0.86545,1.04239,0.46126,0.29812,0.19105,0.08002,1.95971,1.28138,1.16597,0.00137713,0.00137713,0.00137713
13,100.259,1.71256,0.84113,1.02203,0.50328,0.29004,0.22816,0.09128,1.9543,1.19731,1.17443,0.00137241,0.00137241,0.00137241
14,107.452,1.7077,0.842,1.01798,0.60477,0.31008,0.24958,0.10705,1.78349,1.19743,1.13569,0.0013677,0.0013677,0.0013677
15,113.509,1.76355,0.86757,1.04646,0.63283,0.42449,0.34784,0.16321,1.71823,1.09262,1.095,0.00136298,0.00136298,0.00136298
16,120.999,1.74572,0.85281,1.03456,0.65614,0.48537,0.42503,0.18919,1.68261,0.99011,1.07964,0.00135826,0.00135826,0.00135826
17,126.679,1.75129,0.86471,1.0348,0.73703,0.48729,0.45502,0.18503,1.84826,0.97962,1.11559,0.00135355,0.00135355,0.00135355
18,132.58,1.664,0.80736,0.99952,0.73234,0.42229,0.38782,0.16699,1.80475,0.95247,1.09705,0.00134883,0.00134883,0.00134883
19,139.444,1.65217,0.80052,0.99719,0.7281,0.46594,0.43063,0.20408,1.60939,0.90933,1.05996,0.00134412,0.00134412,0.00134412
20,145.129,1.61642,0.77817,0.99938,0.72563,0.55313,0.50058,0.23164,1.59319,0.91231,1.04783,0.0013394,0.0013394,0.0013394
21,152.326,1.59017,0.78663,0.98588,0.77985,0.44694,0.43574,0.19349,1.80512,0.95476,1.09378,0.00133469,0.00133469,0.00133469
22,158.027,1.59879,0.74752,0.98512,0.70176,0.40215,0.36826,0.17235,1.74737,0.92884,1.08908,0.00132997,0.00132997,0.00132997
23,164.245,1.56453,0.73596,0.98535,0.73355,0.50776,0.46414,0.23679,1.56963,0.87802,1.04772,0.00132525,0.00132525,0.00132525
24,173.251,1.55889,0.76207,0.99236,0.69954,0.55138,0.49207,0.23065,1.63646,0.91032,1.06601,0.00132054,0.00132054,0.00132054
25,179.691,1.5733,0.78112,0.98523,0.67674,0.54685,0.48142,0.21703,1.68681,0.96018,1.07477,0.00131582,0.00131582,0.00131582
26,185.895,1.60401,0.75415,0.98057,0.70753,0.52178,0.45824,0.21142,1.69003,0.97537,1.08448,0.00131111,0.00131111,0.00131111
27,191.788,1.53467,0.75754,0.98238,0.79326,0.50558,0.47197,0.22434,1.67654,0.96319,1.07655,0.00130639,0.00130639,0.00130639
28,198.971,1.49982,0.72049,0.96964,0.74856,0.52867,0.48961,0.22901,1.58626,0.92697,1.05463,0.00130168,0.00130168,0.00130168
29,207.231,1.55217,0.75091,0.97648,0.77135,0.54047,0.50893,0.25962,1.53955,0.88751,1.03627,0.00129696,0.00129696,0.00129696
30,215.147,1.4942,0.70787,0.95988,0.77367,0.55843,0.51903,0.26205,1.53592,0.85482,1.03291,0.00129224,0.00129224,0.00129224
31,221.017,1.5239,0.69485,0.96199,0.77287,0.58333,0.54352,0.2707,1.58562,0.86458,1.05116,0.00128753,0.00128753,0.00128753
32,228.149,1.48993,0.69401,0.96217,0.74264,0.57183,0.52052,0.25803,1.60112,0.87514,1.05732,0.00128281,0.00128281,0.00128281
33,233.642,1.53426,0.70867,0.95224,0.80857,0.59514,0.55576,0.28685,1.61266,0.82321,1.04155,0.0012781,0.0012781,0.0012781
34,243.37,1.50539,0.6907,0.96558,0.82429,0.57987,0.55017,0.28499,1.57105,0.80083,1.02214,0.00127338,0.00127338,0.00127338
35,249.238,1.46581,0.68798,0.95298,0.81171,0.54564,0.52194,0.25346,1.59949,0.79411,1.02304,0.00126867,0.00126867,0.00126867
36,255.7,1.49783,0.68947,0.96102,0.83312,0.51862,0.50974,0.24049,1.63071,0.80606,1.02711,0.00126395,0.00126395,0.00126395
